name,year,value
Cassette,2013,0
Cassette,2014,0
Cassette,2015,0
Cassette,2016,0
Cassette,2017,0
Cassette,2018,0
Cassette Single,1973,0
Cassette Single,1974,0
Cassette Single,1975,0
Cassette Single,1976,0
Cassette Single,1977,0
Cassette Single,1978,0
Cassette Single,1979,0
Cassette Single,1980,0
Cassette Single,1981,0
Cassette Single,1982,0
Cassette Single,1983,0
Cassette Single,1984,0
Cassette Single,1985,0
Cassette Single,1986,0
Cassette Single,1987,30900000
Cassette Single,1988,118700000
Cassette Single,1989,384700000
Cassette Single,1990,483700000
Cassette Single,1991,414700000
Cassette Single,1992,522000000
Cassette Single,1993,506400000
Cassette Single,1994,454700000
Cassette Single,1995,380100000
Cassette Single,1996,295700000
Cassette Single,1997,203900000
Cassette Single,1998,142000000
Cassette Single,1999,70600000
Cassette Single,2000,6500000
Cassette Single,2001,-7300000
Cassette Single,2002,-2200000
Cassette Single,2003,0
Cassette Single,2004,0
Cassette Single,2005,0
Cassette Single,2006,0
Cassette Single,2007,0
Cassette Single,2008,0
Cassette Single,2009,0
Cassette Single,2010,0
Cassette Single,2011,0
Cassette Single,2012,0
Cassette Single,2013,0
Cassette Single,2014,0
Cassette Single,2015,0
Cassette Single,2016,0
Cassette Single,2017,0
Cassette Single,2018,0
CD,1973,0
CD,1974,0
CD,1975,0
CD,1976,0
CD,1977,0
CD,1978,0
CD,1979,0
CD,1980,0
CD,1981,0
CD,1982,0
CD,1983,42300000
CD,1984,243700000
CD,1985,887300000
CD,1986,2080200000
CD,1987,3438600000
CD,1988,4330300000
CD,1989,5115300000
CD,1990,6473300000
CD,1991,7806600000
CD,1992,9306000000
CD,1993,11045500000
CD,1994,14000100000
CD,1995,15082600000
CD,1996,15520700000
CD,1997,15142600000
CD,1998,17167400000
CD,1999,18856700000
CD,2000,18810300000
CD,2001,17867600000
CD,2002,16410500000
CD,2003,14964200000
CD,2004,14853200000
CD,2005,13203800000
CD,2006,11395900000
CD,2007,8811900000
CD,2008,6229000000
CD,2009,4934500000
CD,2010,3810100000
CD,2011,3378900000
CD,2012,2718500000
CD,2013,2307700000
CD,2014,1884100000
CD,2015,1530900000
CD,2016,1183100000
CD,2017,1083100000
CD,2018,698400000
CD Single,1973,0
CD Single,1974,0
CD Single,1975,0
CD Single,1976,0
CD Single,1977,0
CD Single,1978,0
CD Single,1979,0
CD Single,1980,0
CD Single,1981,0
CD Single,1982,0
CD Single,1983,0
CD Single,1984,0
CD Single,1985,0
CD Single,1986,0
CD Single,1987,0
CD Single,1988,20300000
CD Single,1989,-1400000
CD Single,1990,11300000
CD Single,1991,63200000
CD Single,1992,78800000
CD Single,1993,77700000
CD Single,1994,92800000
CD Single,1995,178400000
CD Single,1996,287600000
CD Single,1997,416500000
CD Single,1998,320600000
CD Single,1999,327200000
CD Single,2000,203100000
CD Single,2001,109900000
CD Single,2002,26700000
CD Single,2003,48000000
CD Single,2004,19500000
CD Single,2005,13700000
CD Single,2006,9400000
CD Single,2007,14400000
CD Single,2008,4000000
CD Single,2009,3500000
CD Single,2010,3300000
CD Single,2011,3800000
CD Single,2012,3500000
CD Single,2013,2600000
CD Single,2014,3800000
CD Single,2015,1300000
CD Single,2016,300000
CD Single,2017,1500000
CD Single,2018,200000
Download Album,1973,0
Download Album,1974,0
Download Album,1975,0
Download Album,1976,0
Download Album,1977,0
Download Album,1978,0
Download Album,1979,0
Download Album,1980,0
Download Album,1981,0
Download Album,1982,0
Download Album,1983,0
Download Album,1984,0
Download Album,1985,0
Download Album,1986,0
Download Album,1987,0
Download Album,1988,0
Download Album,1989,0
Download Album,1990,0
Download Album,1991,0
Download Album,1992,0
Download Album,1993,0
Download Album,1994,0
Download Album,1995,0
Download Album,1996,0
Download Album,1997,0
Download Album,1998,0
Download Album,1999,0
Download Album,2000,0
Download Album,2001,0
Download Album,2002,0
Download Album,2003,0
Download Album,2004,59000000
Download Album,2005,170300000
Download Album,2006,335500000
Download Album,2007,588100000
Download Album,2008,723300000
Download Album,2009,850400000
Download Album,2010,980700000
Download Album,2011,1166900000
Download Album,2012,1317700000
Download Album,2013,1328100000
Download Album,2014,1185800000
Download Album,2015,1127700000
Download Album,2016,908800000
Download Album,2017,684800000
Download Album,2018,499700000
Download Music Video,1973,0
Download Music Video,1974,0
Download Music Video,1975,0
Download Music Video,1976,0
Download Music Video,1977,0
Download Music Video,1978,0
Download Music Video,1979,0
Download Music Video,1980,0
Download Music Video,1981,0
Download Music Video,1982,0
Download Music Video,1983,0
Download Music Video,1984,0
Download Music Video,1985,0
Download Music Video,1986,0
Download Music Video,1987,0
Download Music Video,1988,0
Download Music Video,1989,0
Download Music Video,1990,0
Download Music Video,1991,0
Download Music Video,1992,0
Download Music Video,1993,0
Download Music Video,1994,0
Download Music Video,1995,0
Download Music Video,1996,0
Download Music Video,1997,0
Download Music Video,1998,0
Download Music Video,1999,0
Download Music Video,2000,0
Download Music Video,2001,0
Download Music Video,2002,0
Download Music Video,2003,0
Download Music Video,2004,0
Download Music Video,2005,4600000
Download Music Video,2006,24000000
Download Music Video,2007,33300000
Download Music Video,2008,47000000
Download Music Video,2009,46700000
Download Music Video,2010,41100000
Download Music Video,2011,35300000
Download Music Video,2012,22800000
Download Music Video,2013,18000000
Download Music Video,2014,14400000
Download Music Video,2015,6800000
Download Music Video,2016,4500000
Download Music Video,2017,2900000
Download Music Video,2018,2200000
Download Single,1973,0
Download Single,1974,0
Download Single,1975,0
Download Single,1976,0
Download Single,1977,0
Download Single,1978,0
Download Single,1979,0
Download Single,1980,0
Download Single,1981,0
Download Single,1982,0
Download Single,1983,0
Download Single,1984,0
Download Single,1985,0
Download Single,1986,0
Download Single,1987,0
Download Single,1988,0
Download Single,1989,0
Download Single,1990,0
Download Single,1991,0
Download Single,1992,0
Download Single,1993,0
Download Single,1994,0
Download Single,1995,0
Download Single,1996,0
Download Single,1997,0
Download Single,1998,0
Download Single,1999,0
Download Single,2000,0
Download Single,2001,0
Download Single,2002,0
Download Single,2003,0
Download Single,2004,179100000
Download Single,2005,456000000
Download Single,2006,705900000
Download Single,2007,959000000
Download Single,2008,1175100000
Download Single,2009,1339100000
Download Single,2010,1502300000
Download Single,2011,1659000000
Download Single,2012,1798700000
Download Single,2013,1696000000
Download Single,2014,1437600000
Download Single,2015,1255700000
Download Single,2016,941800000
Download Single,2017,695100000
Download Single,2018,490400000
DVD Audio,1973,0
DVD Audio,1974,0
DVD Audio,1975,0
DVD Audio,1976,0
DVD Audio,1977,0
DVD Audio,1978,0
DVD Audio,1979,0
DVD Audio,1980,0
DVD Audio,1981,0
DVD Audio,1982,0
DVD Audio,1983,0
DVD Audio,1984,0
DVD Audio,1985,0
DVD Audio,1986,0
DVD Audio,1987,0
DVD Audio,1988,0
DVD Audio,1989,0
DVD Audio,1990,0
DVD Audio,1991,0
DVD Audio,1992,0
DVD Audio,1993,0
DVD Audio,1994,0
DVD Audio,1995,0
DVD Audio,1996,0
DVD Audio,1997,0
DVD Audio,1998,0
DVD Audio,1999,0
DVD Audio,2000,0
DVD Audio,2001,8300000
DVD Audio,2002,11600000
DVD Audio,2003,10700000
DVD Audio,2004,8400000
DVD Audio,2005,14100000
DVD Audio,2006,2900000
DVD Audio,2007,3300000
DVD Audio,2008,1400000
DVD Audio,2009,1800000
DVD Audio,2010,1000000
DVD Audio,2011,300000
DVD Audio,2012,200000
DVD Audio,2013,-500000
DVD Audio,2014,2300000
DVD Audio,2015,5700000
DVD Audio,2016,3000000
DVD Audio,2017,2700000
DVD Audio,2018,3300000
Kiosk,1973,0
Kiosk,1974,0
Kiosk,1975,0
Kiosk,1976,0
Kiosk,1977,0
Kiosk,1978,0
Kiosk,1979,0
Kiosk,1980,0
Kiosk,1981,0
Kiosk,1982,0
Kiosk,1983,0
Kiosk,1984,0
Kiosk,1985,0
Kiosk,1986,0
Kiosk,1987,0
Kiosk,1988,0
Kiosk,1989,0
Kiosk,1990,0
Kiosk,1991,0
Kiosk,1992,0
Kiosk,1993,0
Kiosk,1994,0
Kiosk,1995,0
Kiosk,1996,0
Kiosk,1997,0
Kiosk,1998,0
Kiosk,1999,0
Kiosk,2000,0
Kiosk,2001,0
Kiosk,2002,0
Kiosk,2003,0
Kiosk,2004,0
Kiosk,2005,1300000
Kiosk,2006,2300000
Kiosk,2007,3100000
Kiosk,2008,3000000
Kiosk,2009,7200000
Kiosk,2010,7200000
Kiosk,2011,2900000
Kiosk,2012,4000000
Kiosk,2013,6700000
Kiosk,2014,2700000
Kiosk,2015,3900000
Kiosk,2016,3100000
Kiosk,2017,2300000
Kiosk,2018,2000000
Limited Tier Paid Subscription,1973,0
Limited Tier Paid Subscription,1974,0
Limited Tier Paid Subscription,1975,0
Limited Tier Paid Subscription,1976,0
Limited Tier Paid Subscription,1977,0
Limited Tier Paid Subscription,1978,0
Limited Tier Paid Subscription,1979,0
Limited Tier Paid Subscription,1980,0
Limited Tier Paid Subscription,1981,0
Limited Tier Paid Subscription,1982,0
Limited Tier Paid Subscription,1983,0
Limited Tier Paid Subscription,1984,0
Limited Tier Paid Subscription,1985,0
Limited Tier Paid Subscription,1986,0
Limited Tier Paid Subscription,1987,0
Limited Tier Paid Subscription,1988,0
Limited Tier Paid Subscription,1989,0
Limited Tier Paid Subscription,1990,0
Limited Tier Paid Subscription,1991,0
Limited Tier Paid Subscription,1992,0
Limited Tier Paid Subscription,1993,0
Limited Tier Paid Subscription,1994,0
Limited Tier Paid Subscription,1995,0
Limited Tier Paid Subscription,1996,0
Limited Tier Paid Subscription,1997,0
Limited Tier Paid Subscription,1998,0
Limited Tier Paid Subscription,1999,0
Limited Tier Paid Subscription,2000,0
Limited Tier Paid Subscription,2001,0
Limited Tier Paid Subscription,2002,0
Limited Tier Paid Subscription,2003,0
Limited Tier Paid Subscription,2004,0
Limited Tier Paid Subscription,2005,0
Limited Tier Paid Subscription,2006,0
Limited Tier Paid Subscription,2007,0
Limited Tier Paid Subscription,2008,0
Limited Tier Paid Subscription,2009,0
Limited Tier Paid Subscription,2010,0
Limited Tier Paid Subscription,2011,0
Limited Tier Paid Subscription,2012,0
Limited Tier Paid Subscription,2013,0
Limited Tier Paid Subscription,2014,0
Limited Tier Paid Subscription,2015,0
Limited Tier Paid Subscription,2016,275500000
Limited Tier Paid Subscription,2017,606100000
Limited Tier Paid Subscription,2018,747100000
LP/EP,1973,6878800000
LP/EP,1974,6742000000
LP/EP,1975,6765900000
LP/EP,1976,7164100000
LP/EP,1977,8878900000
LP/EP,1978,9298400000
LP/EP,1979,6945100000
LP/EP,1980,6544500000
LP/EP,1981,6314600000
LP/EP,1982,4890000000
LP/EP,1983,4156700000
LP/EP,1984,3653900000
LP/EP,1985,2917100000
LP/EP,1986,2198500000
LP/EP,1987,1711300000
LP/EP,1988,1102700000
LP/EP,1989,435500000
LP/EP,1990,162200000
LP/EP,1991,52900000
LP/EP,1992,23600000
LP/EP,1993,18000000
LP/EP,1994,29400000
LP/EP,1995,40400000
LP/EP,1996,57500000
LP/EP,1997,50900000
LP/EP,1998,51100000
LP/EP,1999,46800000
LP/EP,2000,39400000
LP/EP,2001,37900000
LP/EP,2002,27900000
LP/EP,2003,28900000
LP/EP,2004,25000000
LP/EP,2005,17800000
LP/EP,2006,19100000
LP/EP,2007,27100000
LP/EP,2008,64600000
LP/EP,2009,72900000
LP/EP,2010,99900000
LP/EP,2011,130100000
LP/EP,2012,175800000
LP/EP,2013,227200000
LP/EP,2014,258700000
LP/EP,2015,353200000
LP/EP,2016,371900000
LP/EP,2017,398000000
LP/EP,2018,419200000
Music Video (Physical),1973,0
Music Video (Physical),1974,0
Music Video (Physical),1975,0
Music Video (Physical),1976,0
Music Video (Physical),1977,0
Music Video (Physical),1978,0
Music Video (Physical),1979,0
Music Video (Physical),1980,0
Music Video (Physical),1981,0
Music Video (Physical),1982,0
Music Video (Physical),1983,0
Music Video (Physical),1984,0
Music Video (Physical),1985,0
Music Video (Physical),1986,0
Music Video (Physical),1987,0
Music Video (Physical),1988,0
Music Video (Physical),1989,228100000
Music Video (Physical),1990,323100000
Music Video (Physical),1991,212500000
Music Video (Physical),1992,275000000
Music Video (Physical),1993,361800000
Music Video (Physical),1994,382200000
Music Video (Physical),1995,354300000
Music Video (Physical),1996,368900000
Music Video (Physical),1997,494700000
Music Video (Physical),1998,763900000
Music Video (Physical),1999,554200000
Music Video (Physical),2000,401300000
Music Video (Physical),2001,455600000
Music Video (Physical),2002,393000000
Music Video (Physical),2003,532700000
Music Video (Physical),2004,787900000
Music Video (Physical),2005,755800000
Music Video (Physical),2006,548500000
Music Video (Physical),2007,573400000
Music Video (Physical),2008,258800000
Music Video (Physical),2009,239500000
Music Video (Physical),2010,199600000
Music Video (Physical),2011,164500000
Music Video (Physical),2012,127500000
Music Video (Physical),2013,114600000
Music Video (Physical),2014,95200000
Music Video (Physical),2015,74600000
Music Video (Physical),2016,59600000
Music Video (Physical),2017,39600000
Music Video (Physical),2018,27600000
On-Demand Streaming (Ad-Supported),1973,0
On-Demand Streaming (Ad-Supported),1974,0
On-Demand Streaming (Ad-Supported),1975,0
On-Demand Streaming (Ad-Supported),1976,0
On-Demand Streaming (Ad-Supported),1977,0
On-Demand Streaming (Ad-Supported),1978,0
On-Demand Streaming (Ad-Supported),1979,0
On-Demand Streaming (Ad-Supported),1980,0
On-Demand Streaming (Ad-Supported),1981,0
On-Demand Streaming (Ad-Supported),1982,0
On-Demand Streaming (Ad-Supported),1983,0
On-Demand Streaming (Ad-Supported),1984,0
On-Demand Streaming (Ad-Supported),1985,0
On-Demand Streaming (Ad-Supported),1986,0
On-Demand Streaming (Ad-Supported),1987,0
On-Demand Streaming (Ad-Supported),1988,0
On-Demand Streaming (Ad-Supported),1989,0
On-Demand Streaming (Ad-Supported),1990,0
On-Demand Streaming (Ad-Supported),1991,0
On-Demand Streaming (Ad-Supported),1992,0
On-Demand Streaming (Ad-Supported),1993,0
On-Demand Streaming (Ad-Supported),1994,0
On-Demand Streaming (Ad-Supported),1995,0
On-Demand Streaming (Ad-Supported),1996,0
On-Demand Streaming (Ad-Supported),1997,0
On-Demand Streaming (Ad-Supported),1998,0
On-Demand Streaming (Ad-Supported),1999,0
On-Demand Streaming (Ad-Supported),2000,0
On-Demand Streaming (Ad-Supported),2001,0
On-Demand Streaming (Ad-Supported),2002,0
On-Demand Streaming (Ad-Supported),2003,0
On-Demand Streaming (Ad-Supported),2004,0
On-Demand Streaming (Ad-Supported),2005,0
On-Demand Streaming (Ad-Supported),2006,0
On-Demand Streaming (Ad-Supported),2007,0
On-Demand Streaming (Ad-Supported),2008,0
On-Demand Streaming (Ad-Supported),2009,0
On-Demand Streaming (Ad-Supported),2010,0
On-Demand Streaming (Ad-Supported),2011,124000000
On-Demand Streaming (Ad-Supported),2012,187000000
On-Demand Streaming (Ad-Supported),2013,238100000
On-Demand Streaming (Ad-Supported),2014,301000000
On-Demand Streaming (Ad-Supported),2015,394100000
On-Demand Streaming (Ad-Supported),2016,512000000
On-Demand Streaming (Ad-Supported),2017,674700000
On-Demand Streaming (Ad-Supported),2018,759500000
Other Ad-Supported Streaming,1973,0
Other Ad-Supported Streaming,1974,0
Other Ad-Supported Streaming,1975,0
Other Ad-Supported Streaming,1976,0
Other Ad-Supported Streaming,1977,0
Other Ad-Supported Streaming,1978,0
Other Ad-Supported Streaming,1979,0
Other Ad-Supported Streaming,1980,0
Other Ad-Supported Streaming,1981,0
Other Ad-Supported Streaming,1982,0
Other Ad-Supported Streaming,1983,0
Other Ad-Supported Streaming,1984,0
Other Ad-Supported Streaming,1985,0
Other Ad-Supported Streaming,1986,0
Other Ad-Supported Streaming,1987,0
Other Ad-Supported Streaming,1988,0
Other Ad-Supported Streaming,1989,0
Other Ad-Supported Streaming,1990,0
Other Ad-Supported Streaming,1991,0
Other Ad-Supported Streaming,1992,0
Other Ad-Supported Streaming,1993,0
Other Ad-Supported Streaming,1994,0
Other Ad-Supported Streaming,1995,0
Other Ad-Supported Streaming,1996,0
Other Ad-Supported Streaming,1997,0
Other Ad-Supported Streaming,1998,0
Other Ad-Supported Streaming,1999,0
Other Ad-Supported Streaming,2000,0
Other Ad-Supported Streaming,2001,0
Other Ad-Supported Streaming,2002,0
Other Ad-Supported Streaming,2003,0
Other Ad-Supported Streaming,2004,0
Other Ad-Supported Streaming,2005,0
Other Ad-Supported Streaming,2006,0
Other Ad-Supported Streaming,2007,0
Other Ad-Supported Streaming,2008,0
Other Ad-Supported Streaming,2009,0
Other Ad-Supported Streaming,2010,0
Other Ad-Supported Streaming,2011,0
Other Ad-Supported Streaming,2012,0
Other Ad-Supported Streaming,2013,0
Other Ad-Supported Streaming,2014,0
Other Ad-Supported Streaming,2015,0
Other Ad-Supported Streaming,2016,85000000
Other Ad-Supported Streaming,2017,268200000
Other Ad-Supported Streaming,2018,251400000
Other Digital,1973,0
Other Digital,1974,0
Other Digital,1975,0
Other Digital,1976,0
Other Digital,1977,0
Other Digital,1978,0
Other Digital,1979,0
Other Digital,1980,0
Other Digital,1981,0
Other Digital,1982,0
Other Digital,1983,0
Other Digital,1984,0
Other Digital,1985,0
Other Digital,1986,0
Other Digital,1987,0
Other Digital,1988,0
Other Digital,1989,0
Other Digital,1990,0
Other Digital,1991,0
Other Digital,1992,0
Other Digital,1993,0
Other Digital,1994,0
Other Digital,1995,0
Other Digital,1996,0
Other Digital,1997,0
Other Digital,1998,0
Other Digital,1999,0
Other Digital,2000,0
Other Digital,2001,0
Other Digital,2002,0
Other Digital,2003,0
Other Digital,2004,0
Other Digital,2005,0
Other Digital,2006,0
Other Digital,2007,0
Other Digital,2008,0
Other Digital,2009,0
Other Digital,2010,0
Other Digital,2011,0
Other Digital,2012,0
Other Digital,2013,0
Other Digital,2014,0
Other Digital,2015,0
Other Digital,2016,17900000
Other Digital,2017,17300000
Other Digital,2018,19800000
Other Tapes,1973,86100000
Other Tapes,1974,66100000
Other Tapes,1975,46500000
Other Tapes,1976,22000000
Other Tapes,1977,0
Other Tapes,1978,0
Other Tapes,1979,0
Other Tapes,1980,0
Other Tapes,1981,0
Other Tapes,1982,0
Other Tapes,1983,0
Other Tapes,1984,0
Other Tapes,1985,0
Other Tapes,1986,0
Other Tapes,1987,0
Other Tapes,1988,0
Other Tapes,1989,0
Other Tapes,1990,0
Other Tapes,1991,0
Other Tapes,1992,0
Other Tapes,1993,0
Other Tapes,1994,0
Other Tapes,1995,0
Other Tapes,1996,0
Other Tapes,1997,0
Other Tapes,1998,0
Other Tapes,1999,0
Other Tapes,2000,0
Other Tapes,2001,0
Other Tapes,2002,0
Other Tapes,2003,0
Other Tapes,2004,0
Other Tapes,2005,0
Other Tapes,2006,0
Other Tapes,2007,0
Other Tapes,2008,0
Other Tapes,2009,0
Other Tapes,2010,0
Other Tapes,2011,0
Other Tapes,2012,0
Other Tapes,2013,0
Other Tapes,2014,0
Other Tapes,2015,0
Other Tapes,2016,0
Other Tapes,2017,0
Other Tapes,2018,0
Paid Subscription,1973,0
Paid Subscription,1974,0
Paid Subscription,1975,0
Paid Subscription,1976,0
Paid Subscription,1977,0
Paid Subscription,1978,0
Paid Subscription,1979,0
Paid Subscription,1980,0
Paid Subscription,1981,0
Paid Subscription,1982,0
Paid Subscription,1983,0
Paid Subscription,1984,0
Paid Subscription,1985,0
Paid Subscription,1986,0
Paid Subscription,1987,0
Paid Subscription,1988,0
Paid Subscription,1989,0
Paid Subscription,1990,0
Paid Subscription,1991,0
Paid Subscription,1992,0
Paid Subscription,1993,0
Paid Subscription,1994,0
Paid Subscription,1995,0
Paid Subscription,1996,0
Paid Subscription,1997,0
Paid Subscription,1998,0
Paid Subscription,1999,0
Paid Subscription,2000,0
Paid Subscription,2001,0
Paid Subscription,2002,0
Paid Subscription,2003,0
Paid Subscription,2004,0
Paid Subscription,2005,187300000
Paid Subscription,2006,250700000
Paid Subscription,2007,276700000
Paid Subscription,2008,252100000
Paid Subscription,2009,235600000
Paid Subscription,2010,238800000
Paid Subscription,2011,270000000
Paid Subscription,2012,437400000
Paid Subscription,2013,693400000
Paid Subscription,2014,817000000
Paid Subscription,2015,1225500000
Paid Subscription,2016,2347900000
Paid Subscription,2017,3586100000
Paid Subscription,2018,4656000000
Ringtones & Ringbacks,1973,0
Ringtones & Ringbacks,1974,0
Ringtones & Ringbacks,1975,0
Ringtones & Ringbacks,1976,0
Ringtones & Ringbacks,1977,0
Ringtones & Ringbacks,1978,0
Ringtones & Ringbacks,1979,0
Ringtones & Ringbacks,1980,0
Ringtones & Ringbacks,1981,0
Ringtones & Ringbacks,1982,0
Ringtones & Ringbacks,1983,0
Ringtones & Ringbacks,1984,0
Ringtones & Ringbacks,1985,0
Ringtones & Ringbacks,1986,0
Ringtones & Ringbacks,1987,0
Ringtones & Ringbacks,1988,0
Ringtones & Ringbacks,1989,0
Ringtones & Ringbacks,1990,0
Ringtones & Ringbacks,1991,0
Ringtones & Ringbacks,1992,0
Ringtones & Ringbacks,1993,0
Ringtones & Ringbacks,1994,0
Ringtones & Ringbacks,1995,0
Ringtones & Ringbacks,1996,0
Ringtones & Ringbacks,1997,0
Ringtones & Ringbacks,1998,0
Ringtones & Ringbacks,1999,0
Ringtones & Ringbacks,2000,0
Ringtones & Ringbacks,2001,0
Ringtones & Ringbacks,2002,0
Ringtones & Ringbacks,2003,0
Ringtones & Ringbacks,2004,0
Ringtones & Ringbacks,2005,529100000
Ringtones & Ringbacks,2006,940800000
Ringtones & Ringbacks,2007,1248400000
Ringtones & Ringbacks,2008,1112400000
Ringtones & Ringbacks,2009,803000000
Ringtones & Ringbacks,2010,503600000
Ringtones & Ringbacks,2011,301000000
Ringtones & Ringbacks,2012,159700000
Ringtones & Ringbacks,2013,105600000
Ringtones & Ringbacks,2014,70300000
Ringtones & Ringbacks,2015,57800000
Ringtones & Ringbacks,2016,58900000
Ringtones & Ringbacks,2017,36400000
Ringtones & Ringbacks,2018,25000000
SACD,1973,0
SACD,1974,0
SACD,1975,0
SACD,1976,0
SACD,1977,0
SACD,1978,0
SACD,1979,0
SACD,1980,0
SACD,1981,0
SACD,1982,0
SACD,1983,0
SACD,1984,0
SACD,1985,0
SACD,1986,0
SACD,1987,0
SACD,1988,0
SACD,1989,0
SACD,1990,0
SACD,1991,0
SACD,1992,0
SACD,1993,0
SACD,1994,0
SACD,1995,0
SACD,1996,0
SACD,1997,0
SACD,1998,0
SACD,1999,0
SACD,2000,0
SACD,2001,0
SACD,2002,0
SACD,2003,35000000
SACD,2004,21500000
SACD,2005,12600000
SACD,2006,6700000
SACD,2007,4300000
SACD,2008,3500000
SACD,2009,2700000
SACD,2010,1900000
SACD,2011,1600000
SACD,2012,1500000
SACD,2013,1100000
SACD,2014,800000
SACD,2015,1100000
SACD,2016,1300000
SACD,2017,900000
SACD,2018,900000
SoundExchange Distributions,1973,0
SoundExchange Distributions,1974,0
SoundExchange Distributions,1975,0
SoundExchange Distributions,1976,0
SoundExchange Distributions,1977,0
SoundExchange Distributions,1978,0
SoundExchange Distributions,1979,0
SoundExchange Distributions,1980,0
SoundExchange Distributions,1981,0
SoundExchange Distributions,1982,0
SoundExchange Distributions,1983,0
SoundExchange Distributions,1984,0
SoundExchange Distributions,1985,0
SoundExchange Distributions,1986,0
SoundExchange Distributions,1987,0
SoundExchange Distributions,1988,0
SoundExchange Distributions,1989,0
SoundExchange Distributions,1990,0
SoundExchange Distributions,1991,0
SoundExchange Distributions,1992,0
SoundExchange Distributions,1993,0
SoundExchange Distributions,1994,0
SoundExchange Distributions,1995,0
SoundExchange Distributions,1996,0
SoundExchange Distributions,1997,0
SoundExchange Distributions,1998,0
SoundExchange Distributions,1999,0
SoundExchange Distributions,2000,0
SoundExchange Distributions,2001,0
SoundExchange Distributions,2002,0
SoundExchange Distributions,2003,0
SoundExchange Distributions,2004,9000000
SoundExchange Distributions,2005,25600000
SoundExchange Distributions,2006,39900000
SoundExchange Distributions,2007,42800000
SoundExchange Distributions,2008,113800000
SoundExchange Distributions,2009,177700000
SoundExchange Distributions,2010,280100000
SoundExchange Distributions,2011,318200000
SoundExchange Distributions,2012,505300000
SoundExchange Distributions,2013,636400000
SoundExchange Distributions,2014,820300000
SoundExchange Distributions,2015,850300000
SoundExchange Distributions,2016,924800000
SoundExchange Distributions,2017,667900000
SoundExchange Distributions,2018,952800000
Synchronization,1973,0
Synchronization,1974,0
Synchronization,1975,0
Synchronization,1976,0
Synchronization,1977,0
Synchronization,1978,0
Synchronization,1979,0
Synchronization,1980,0
Synchronization,1981,0
Synchronization,1982,0
Synchronization,1983,0
Synchronization,1984,0
Synchronization,1985,0
Synchronization,1986,0
Synchronization,1987,0
Synchronization,1988,0
Synchronization,1989,0
Synchronization,1990,0
Synchronization,1991,0
Synchronization,1992,0
Synchronization,1993,0
Synchronization,1994,0
Synchronization,1995,0
Synchronization,1996,0
Synchronization,1997,0
Synchronization,1998,0
Synchronization,1999,0
Synchronization,2000,0
Synchronization,2001,0
Synchronization,2002,0
Synchronization,2003,0
Synchronization,2004,0
Synchronization,2005,0
Synchronization,2006,0
Synchronization,2007,0
Synchronization,2008,0
Synchronization,2009,229900000
Synchronization,2010,212100000
Synchronization,2011,214100000
Synchronization,2012,208500000
Synchronization,2013,204500000
Synchronization,2014,201200000
Synchronization,2015,215000000
Synchronization,2016,224800000
Synchronization,2017,237800000
Synchronization,2018,285500000
Vinyl Single,1973,1048900000
Vinyl Single,1974,964600000
Vinyl Single,1975,963600000
Vinyl Single,1976,1055900000
Vinyl Single,1977,991400000
Vinyl Single,1978,978600000
Vinyl Single,1979,1193900000
Vinyl Single,1980,743700000
Vinyl Single,1981,691400000
Vinyl Single,1982,718800000
Vinyl Single,1983,662800000
